Gamma	T/Tc	Delta_h	Delta_e	TildesTotal
0.0	0.5409836495403538	-1.056755169966522	0.6115406440007919	"[[ 8.52414951e-01, 6.11540644e-01,-1.05675517e+00],
 [ 2.55724485e+00, 6.11540644e-01,-1.05675517e+00],
 [ 4.26207475e+00, 6.11540644e-01,-1.05675517e+00],
 ...,
 [ 3.50121521e+03, 6.11540644e-01,-1.05675517e+00],
 [ 5.34806613e+03, 6.11540644e-01,-1.05675517e+00],
 [ 8.36735044e+03, 6.11540644e-01,-1.05675517e+00]]"
0.0	0.5285778022306337	-1.0649731240883562	0.61532339578286	"[[ 8.32867355e-01, 6.15323396e-01,-1.06497312e+00],
 [ 2.49860206e+00, 6.15323396e-01,-1.06497312e+00],
 [ 4.16433677e+00, 6.15323396e-01,-1.06497312e+00],
 ...,
 [ 3.42092528e+03, 6.15323396e-01,-1.06497312e+00],
 [ 5.22542418e+03, 6.15323396e-01,-1.06497312e+00],
 [ 8.17547020e+03, 6.15323396e-01,-1.06497312e+00]]"
0.0	0.5161719549209134	-1.0728093252365822	0.6188931805954576	"[[ 8.13319759e-01, 6.18893181e-01,-1.07280933e+00],
 [ 2.43995928e+00, 6.18893181e-01,-1.07280933e+00],
 [ 4.06659880e+00, 6.18893181e-01,-1.07280933e+00],
 ...,
 [ 3.34063535e+03, 6.18893181e-01,-1.07280933e+00],
 [ 5.10278222e+03, 6.18893181e-01,-1.07280933e+00],
 [ 7.98358996e+03, 6.18893181e-01,-1.07280933e+00]]"
0.0	0.5037661076111933	-1.0802711877633513	0.6222571943699945	"[[ 7.93772163e-01, 6.22257194e-01,-1.08027119e+00],
 [ 2.38131649e+00, 6.22257194e-01,-1.08027119e+00],
 [ 3.96886082e+00, 6.22257194e-01,-1.08027119e+00],
 ...,
 [ 3.26034541e+03, 6.22257194e-01,-1.08027119e+00],
 [ 4.98014027e+03, 6.22257194e-01,-1.08027119e+00],
 [ 7.79170972e+03, 6.22257194e-01,-1.08027119e+00]]"
0.0	0.4913602603014731	-1.0873655521594578	0.6254222958249065	"[[ 7.74224567e-01, 6.25422296e-01,-1.08736555e+00],
 [ 2.32267370e+00, 6.25422296e-01,-1.08736555e+00],
 [ 3.87112284e+00, 6.25422296e-01,-1.08736555e+00],
 ...,
 [ 3.18005548e+03, 6.25422296e-01,-1.08736555e+00],
 [ 4.85749832e+03, 6.25422296e-01,-1.08736555e+00],
 [ 7.59982949e+03, 6.25422296e-01,-1.08736555e+00]]"
0.0	0.4789544129917529	-1.0940987548916445	0.6283950400357646	"[[ 7.54676972e-01, 6.28395040e-01,-1.09409875e+00],
 [ 2.26403091e+00, 6.28395040e-01,-1.09409875e+00],
 [ 3.77338486e+00, 6.28395040e-01,-1.09409875e+00],
 ...,
 [ 3.09976555e+03, 6.28395040e-01,-1.09409875e+00],
 [ 4.73485636e+03, 6.28395040e-01,-1.09409875e+00],
 [ 7.40794925e+03, 6.28395040e-01,-1.09409875e+00]]"
0.0	0.46654856568203285	-1.1004766984055498	0.6311817099469414	"[[ 7.35129376e-01, 6.31181710e-01,-1.10047670e+00],
 [ 2.20538813e+00, 6.31181710e-01,-1.10047670e+00],
 [ 3.67564688e+00, 6.31181710e-01,-1.10047670e+00],
 ...,
 [ 3.01947561e+03, 6.31181710e-01,-1.10047670e+00],
 [ 4.61221441e+03, 6.31181710e-01,-1.10047670e+00],
 [ 7.21606901e+03, 6.31181710e-01,-1.10047670e+00]]"
0.0	0.4541427183723126	-1.106504922669791	0.6337883464431263	"[[ 7.15581780e-01, 6.33788346e-01,-1.10650492e+00],
 [ 2.14674534e+00, 6.33788346e-01,-1.10650492e+00],
 [ 3.57790890e+00, 6.33788346e-01,-1.10650492e+00],
 ...,
 [ 2.93918568e+03, 6.33788346e-01,-1.10650492e+00],
 [ 4.48957245e+03, 6.33788346e-01,-1.10650492e+00],
 [ 7.02418877e+03, 6.33788346e-01,-1.10650492e+00]]"
0.0	0.4417368710625924	-1.1121886796000195	0.6362207775674532	"[[ 6.96034184e-01, 6.36220778e-01,-1.11218868e+00],
 [ 2.08810255e+00, 6.36220778e-01,-1.11218868e+00],
 [ 3.48017092e+00, 6.36220778e-01,-1.11218868e+00],
 ...,
 [ 2.85889574e+03, 6.36220778e-01,-1.11218868e+00],
 [ 4.36693050e+03, 6.36220778e-01,-1.11218868e+00],
 [ 6.83230853e+03, 6.36220778e-01,-1.11218868e+00]]"
0.0	0.42933102375287235	-1.117533011668975	0.638484647449407	"[[ 6.76486588e-01, 6.38484647e-01,-1.11753301e+00],
 [ 2.02945977e+00, 6.38484647e-01,-1.11753301e+00],
 [ 3.38243294e+00, 6.38484647e-01,-1.11753301e+00],
 ...,
 [ 2.77860581e+03, 6.38484647e-01,-1.11753301e+00],
 [ 4.24428855e+03, 6.38484647e-01,-1.11753301e+00],
 [ 6.64042829e+03, 6.38484647e-01,-1.11753301e+00]]"
0.0	0.41692517644315213	-1.1225428359699938	0.6405854454863303	"[[ 6.56938993e-01, 6.40585445e-01,-1.12254284e+00],
 [ 1.97081698e+00, 6.40585445e-01,-1.12254284e+00],
 [ 3.28469496e+00, 6.40585445e-01,-1.12254284e+00],
 ...,
 [ 2.69831588e+03, 6.40585445e-01,-1.12254284e+00],
 [ 4.12164659e+03, 6.40585445e-01,-1.12254284e+00],
 [ 6.44854805e+03, 6.40585445e-01,-1.12254284e+00]]"
0.0	0.4045193291334319	-1.127223034945378	0.6425285363029072	"[[ 6.37391397e-01, 6.42528536e-01,-1.12722303e+00],
 [ 1.91217419e+00, 6.42528536e-01,-1.12722303e+00],
 [ 3.18695698e+00, 6.42528536e-01,-1.12722303e+00],
 ...,
 [ 2.61802594e+03, 6.42528536e-01,-1.12722303e+00],
 [ 3.99900464e+03, 6.42528536e-01,-1.12722303e+00],
 [ 6.25666781e+03, 6.42528536e-01,-1.12722303e+00]]"
0.0	0.39211348182371186	-1.1315785549035404	0.6443191909886214	"[[ 6.17843801e-01, 6.44319191e-01,-1.13157855e+00],
 [ 1.85353140e+00, 6.44319191e-01,-1.13157855e+00],
 [ 3.08921900e+00, 6.44319191e-01,-1.13157855e+00],
 ...,
 [ 2.53773601e+03, 6.44319191e-01,-1.13157855e+00],
 [ 3.87636268e+03, 6.44319191e-01,-1.13157855e+00],
 [ 6.06478757e+03, 6.44319191e-01,-1.13157855e+00]]"
0.0	0.37970763451399164	-1.135614513311483	0.6459626200774938	"[[ 5.98296205e-01, 6.45962620e-01,-1.13561451e+00],
 [ 1.79488862e+00, 6.45962620e-01,-1.13561451e+00],
 [ 2.99148103e+00, 6.45962620e-01,-1.13561451e+00],
 ...,
 [ 2.45744608e+03, 6.45962620e-01,-1.13561451e+00],
 [ 3.75372073e+03, 6.45962620e-01,-1.13561451e+00],
 [ 5.87290733e+03, 6.45962620e-01,-1.13561451e+00]]"
0.0	0.3673017872042714	-1.139336315639465	0.6474640086798177	"[[ 5.78748609e-01, 6.47464009e-01,-1.13933632e+00],
 [ 1.73624583e+00, 6.47464009e-01,-1.13933632e+00],
 [ 2.89374305e+00, 6.47464009e-01,-1.13933632e+00],
 ...,
 [ 2.37715614e+03, 6.47464009e-01,-1.13933632e+00],
 [ 3.63107878e+03, 6.47464009e-01,-1.13933632e+00],
 [ 5.68102710e+03, 6.47464009e-01,-1.13933632e+00]]"
0.0	0.35489593989455126	-1.1427497822228667	0.6488285540920039	"[[ 5.59201014e-01, 6.48828554e-01,-1.14274978e+00],
 [ 1.67760304e+00, 6.48828554e-01,-1.14274978e+00],
 [ 2.79600507e+00, 6.48828554e-01,-1.14274978e+00],
 ...,
 [ 2.29686621e+03, 6.48828554e-01,-1.14274978e+00],
 [ 3.50843682e+03, 6.48828554e-01,-1.14274978e+00],
 [ 5.48914686e+03, 6.48828554e-01,-1.14274978e+00]]"
0.0	0.34249009258483115	-1.1458612851551038	0.6500615060853931	"[[ 5.39653418e-01, 6.50061506e-01,-1.14586129e+00],
 [ 1.61896025e+00, 6.50061506e-01,-1.14586129e+00],
 [ 2.69826709e+00, 6.50061506e-01,-1.14586129e+00],
 ...,
 [ 2.21657628e+03, 6.50061506e-01,-1.14586129e+00],
 [ 3.38579487e+03, 6.50061506e-01,-1.14586129e+00],
 [ 5.29726662e+03, 6.50061506e-01,-1.14586129e+00]]"
